Date,nth day in year,Storage (mcft),Inflow (cusecs),Rainfall (mm),Outflow (cusecs)
01/01/2020,0,1426,347,0,394
02/01/2020,1,1430,440,13,394
03/01/2020,2,1430,394,0,394
04/01/2020,3,1432,417,3,394
05/01/2020,4,1444,534,6,394
06/01/2020,5,1460,582,10,394
07/01/2020,6,1481,631,6,394
08/01/2020,7,1497,586,3,394
09/01/2020,8,1503,466,0,394
10/01/2020,9,1510,466,0,394
11/01/2020,10,1516,465,0,394
12/01/2020,11,1518,426,0,402
13/01/2020,12,1518,390,0,389
14/01/2020,13,1520,413,0,389
15/01/2020,14,1522,413,0,389
16/01/2020,15,1524,413,0,389
17/01/2020,16,1523,375,0,389
18/01/2020,17,1520,354,3,389
19/01/2020,18,1511,279,0,389
20/01/2020,19,1507,351,0,387
21/01/2020,20,1505,365,0,390
22/01/2020,21,1503,364,0,390
23/01/2020,22,1497,318,0,390
24/01/2020,23,1489,294,0,390
25/01/2020,24,1478,270,0,390
26/01/2020,25,1468,270,0,390
27/01/2020,26,1487,252,0,32
28/01/2020,27,1507,257,0,32
29/01/2020,28,1526,260,0,32
30/01/2020,29,1546,311,0,32
31/01/2020,30,1563,445,0,32
01/02/2020,31,1584,433,0,32
02/02/2020,32,1608,429,0,29
03/02/2020,33,1632,445,0,32
04/02/2020,34,1657,467,0,32
05/02/2020,35,1682,484,0,26
06/02/2020,36,1707,510,0,13
07/02/2020,37,1730,488,0,13
08/02/2020,38,1774,510,0,34
09/02/2020,39,1816,515,0,41
10/02/2020,40,1826,489,0,377
11/02/2020,41,1829,464,0,424
12/02/2020,42,1832,459,0,424
13/02/2020,43,1836,480,0,429
14/02/2020,44,1841,481,0,429
15/02/2020,45,1832,390,0,502
16/02/2020,46,1819,347,0,502
17/02/2020,47,1798,264,0,502
18/02/2020,48,1781,293,0,500
19/02/2020,49,1767,340,0,497
20/02/2020,50,1751,318,0,497
21/02/2020,51,1732,263,0,494
22/02/2020,52,1712,253,0,494
23/02/2020,53,1691,263,0,494
24/02/2020,54,1673,263,0,494
25/02/2020,55,1657,314,0,494
26/02/2020,56,1637,271,0,494
27/02/2020,57,1616,245,0,494
28/02/2020,58,1593,226,0,494
