Date,nth day in year,Storage (mcft),Inflow (cusecs),Rainfall (mm),Outflow (cusecs)
01/01/2020,0,1694,0,3,67
02/01/2020,1,1694,50,28,50
03/01/2020,2,1694,50,0,50
04/01/2020,3,1689,0,0,54
05/01/2020,4,1685,0,0,50
06/01/2020,5,1681,0,1,50
07/01/2020,6,1677,0,0,50
08/01/2020,7,1672,0,0,50
09/01/2020,8,1668,0,0,50
10/01/2020,9,1664,0,0,50
11/01/2020,10,1660,0,0,50
12/01/2020,11,1656,0,0,50
13/01/2020,12,1651,0,0,50
14/01/2020,13,1647,0,0,50
15/01/2020,14,1643,0,0,50
16/01/2020,15,1638,0,0,55
17/01/2020,16,1633,0,0,55
18/01/2020,17,1628,0,1,55
19/01/2020,18,1623,0,0,55
20/01/2020,19,1618,0,0,55
21/01/2020,20,1613,0,0,55
22/01/2020,21,1609,0,0,51
23/01/2020,22,1605,0,0,51
24/01/2020,23,1600,0,0,55
25/01/2020,24,1595,0,0,57
26/01/2020,25,1591,0,0,48
27/01/2020,26,1587,0,0,48
28/01/2020,27,1582,0,0,57
29/01/2020,28,1573,0,0,105
30/01/2020,29,1563,0,0,114
31/01/2020,30,1553,0,0,110
01/02/2020,31,1547,0,0,72
02/02/2020,32,1542,0,0,56
03/02/2020,33,1537,0,0,56
04/02/2020,34,1532,0,0,56
05/02/2020,35,1528,0,0,50
06/02/2020,36,1524,0,0,49
07/02/2020,37,1519,0,0,55
08/02/2020,38,1515,0,0,49
09/02/2020,39,1511,0,0,49
10/02/2020,40,1511,50,0,52
11/02/2020,41,1531,297,0,66
12/02/2020,42,1551,297,0,66
13/02/2020,43,1571,297,0,66
14/02/2020,44,1591,297,0,66
15/02/2020,45,1617,367,0,66
16/02/2020,46,1643,367,0,59
17/02/2020,47,1669,367,0,61
18/02/2020,48,1695,367,0,63
19/02/2020,49,1721,367,0,63
20/02/2020,50,1747,367,0,68
21/02/2020,51,1773,367,0,97
22/02/2020,52,1799,367,0,68
23/02/2020,53,1825,367,0,68
